mapping_id	source_result_id	from_source_id	to_source_id	relationship_type	relationship_confidence	notes
map_f1c1ef3ec2c7	sr_3c91b76d15f8	src_du2024	work_title_percentage_of_participants_with_a_menstrual_blood_loss_mbl_volume	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_8a10b5550c09	sr_b55639792416	src_yengo2022	work_title_genome_wide_association_analysis_in_primary_sclerosing_cholangitis	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_ac2f3356134f	sr_b5e29f519aae	src_du2024	work_nct_nct02025751	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_c37a8df88412	sr_3741edf3cd08	src_yengo2022	work_title_integrative_analysis_of_genome_wide_association_studies_identifies	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_f73b451201ed	sr_5adb462eb079	src_bosco2020metabus	work_title_jap_79_6_959	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_259665ad3aff	sr_3f9b6a09599c	src_du2024	work_title_annual_rate_of_change_in_lung_density	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_653ed95f757b	sr_928de8f12480	src_kuhberger2014publicationbias	work_plot2_kuhberger_2014_main_results_kuhberger_175_2405	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_d1637c5e4141	sr_827b0884ef5e	src_du2024	work_title_percentage_of_participants_with_disease_free_survival_dfs	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_6a36cf2d9b3f	sr_b7cb57c5cb78	src_tyner2026	work_title_investigating_technology_enhanced_teacher_professional_development	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_e0009eaa625b	sr_581b0190b9f5	src_tosh2024	work_title_pressed_for_time_goal_conflict_shapes_how_time_is_perceived_spent	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
